id,weight,lattitude,longitude
73837334,327.2391272883267,42.713482,-73.1925
2334947659,520.0733358487765,42.7175674,-73.1913407
73761275,219.00207057376446,42.712736,-73.193351
73754582,236.66200344518705,42.71561,-73.193561
73707156,637.1197529900212,42.718172,-73.193695
2334947657,653.7542369871009,42.7184907,-73.1902927
73781579,110.94271678056566,42.714739,-73.194542
73754300,393.3366587230953,42.716514,-73.195032
73747699,489.41814681224787,42.717182,-73.194286
73735160,600.0967587687664,42.714419,-73.19038
73754339,11.785882138129338,42.7138962,-73.1955111
73764429,512.0166808872209,42.713705,-73.19091
73803234,334.9804961391897,42.716285,-73.192785
73790656,564.8678235173754,42.717294,-73.190938
73839505,605.4200765581583,42.717993,-73.193393
73750324,418.6673637073535,42.716863,-73.192129
73840022,770.1209624052751,42.716033,-73.189104
73698604,683.4276868817785,42.715281,-73.189709
73788290,210.22087611226274,42.715426,-73.193766
73839263,316.9514453281592,42.716154,-73.192915
73825856,449.0157477516976,42.7170747,-73.1918946
73670172,0,42.7139803,-73.1954233
